,hour_of_day,hour_of_day_bins,is_weekend,city,merchant_category,payment_method,account_age_years,time_since_last_txn_hrs,time_since_last_txn_hrs_bins,failed_attempts,is_international,pin_changed_recently,is_night_transaction,is_fraud
27909,22,75%-max,1,Mexico City,Electronics,Bank Transfer,2.7,2.56,min-25%,0,0,0,1,0
27910,18,50%-75%,1,Delhi,Jewelry,Credit Card,1.4,3.68,25%-50%,0,0,0,0,0
27911,18,50%-75%,1,Vancouver,Gaming,Credit Card,3.7,5.51,25%-50%,0,0,0,0,0
27912,23,75%-max,1,London,Jewelry,Debit Card,3.9,16.17,50%-75%,0,0,0,1,0
27913,4,min-25%,1,São Paulo,Gaming,Credit Card,7.4,12.14,50%-75%,0,0,0,1,0
27914,13,50%-75%,1,Berlin,ATM Withdrawal,Cheque,8.0,11.7,50%-75%,2,0,1,0,0
27915,15,50%-75%,0,Mumbai,Gaming,Mobile Payment,2.6,0.83,min-25%,0,0,1,0,0
27916,10,25%-50%,0,Rio,Crypto Exchange,Debit Card,1.9,21.17,75%-max,0,1,0,0,0
27917,23,75%-max,0,Manchester,Utilities,Credit Card,8.9,20.81,75%-max,0,0,0,1,0
27918,4,min-25%,0,Munich,Online Shopping,Bank Transfer,11.0,5.02,25%-50%,0,0,0,1,0
27919,18,50%-75%,0,Vancouver,Gaming,Crypto,7.7,4.53,25%-50%,0,1,0,0,0
27920,8,25%-50%,0,Rio,ATM Withdrawal,Bank Transfer,22.3,1.94,min-25%,1,0,0,0,0
27921,17,50%-75%,1,Tokyo,Clothing,Cheque,15.6,13.37,50%-75%,0,0,0,0,0
27922,12,25%-50%,0,London,Crypto Exchange,Bank Transfer,0.1,7.43,25%-50%,0,0,0,0,0
27923,4,min-25%,0,Rio,Gaming,Debit Card,17.2,21.68,75%-max,0,0,0,1,0
27924,12,25%-50%,1,Delhi,Jewelry,Mobile Payment,0.1,12.54,50%-75%,0,0,1,0,1
27925,1,min-25%,0,Berlin,Restaurant,Bank Transfer,2.6,15.64,50%-75%,0,0,1,1,0
27926,4,min-25%,0,Berlin,Online Shopping,Cheque,0.7,4.08,25%-50%,0,0,0,1,0
27927,18,50%-75%,1,Mumbai,Gaming,Mobile Payment,5.7,1.93,min-25%,2,0,1,0,0
27928,5,min-25%,1,Sydney,Crypto Exchange,Bank Transfer,3.1,8.57,50%-75%,0,0,0,1,0
27929,4,min-25%,1,Toronto,ATM Withdrawal,Debit Card,5.0,5.26,25%-50%,3,0,0,1,1
27930,6,min-25%,1,São Paulo,Travel,Mobile Payment,3.4,2.64,min-25%,0,1,0,1,0
27931,7,25%-50%,0,Berlin,Healthcare,Debit Card,4.7,13.25,50%-75%,3,0,0,0,0
27932,23,75%-max,0,Guadalajara,Healthcare,Debit Card,8.4,7.69,25%-50%,0,0,0,1,0
27933,5,min-25%,0,Tokyo,Entertainment,Bank Transfer,0.8,5.9,25%-50%,0,0,0,1,0
27934,8,25%-50%,0,Toronto,Fuel,Mobile Payment,3.5,1.76,min-25%,0,0,1,0,0
27935,18,50%-75%,0,Mexico City,Healthcare,Bank Transfer,4.2,6.37,25%-50%,0,0,0,0,0
27936,19,75%-max,0,Munich,Electronics,Bank Transfer,8.2,1.19,min-25%,0,0,0,0,0
27937,1,min-25%,0,Sydney,Jewelry,Crypto,4.6,1.87,min-25%,0,0,0,1,0
27938,9,25%-50%,0,Toronto,Electronics,Credit Card,9.8,6.63,25%-50%,0,0,1,0,0
27939,3,min-25%,1,Mumbai,Jewelry,Debit Card,5.0,13.94,50%-75%,0,0,0,1,1
27940,16,50%-75%,0,London,ATM Withdrawal,Mobile Payment,0.3,0.6,min-25%,0,0,1,0,0
27941,22,75%-max,0,Berlin,Restaurant,Mobile Payment,0.5,0.91,min-25%,0,0,0,1,0
27942,3,min-25%,0,Osaka,Fuel,Credit Card,3.7,5.54,25%-50%,0,0,0,1,0
27943,17,50%-75%,0,Rio,Electronics,Credit Card,6.3,43.68,75%-max,0,1,0,0,0
27944,23,75%-max,1,Lyon,Electronics,Credit Card,1.5,1.42,min-25%,0,0,0,1,0
27945,14,50%-75%,0,Berlin,Restaurant,Debit Card,12.5,1.34,min-25%,2,0,0,0,0
27946,22,75%-max,1,Mexico City,Clothing,Credit Card,1.6,8.55,50%-75%,3,0,0,1,0
27947,2,min-25%,1,New York,Entertainment,Debit Card,0.1,10.38,50%-75%,0,0,0,1,0
27948,9,25%-50%,0,Mexico City,Crypto Exchange,Debit Card,2.6,25.44,75%-max,0,1,0,0,1
27949,18,50%-75%,0,Paris,Online Shopping,Credit Card,4.0,13.16,50%-75%,0,1,0,0,0
27950,14,50%-75%,0,Guadalajara,Entertainment,Debit Card,4.5,1.62,min-25%,0,0,0,0,0
27951,10,25%-50%,0,Rio,Education,Credit Card,11.4,13.62,50%-75%,0,0,0,0,0
27952,18,50%-75%,1,Guadalajara,Education,Credit Card,2.0,7.85,25%-50%,1,0,0,0,0
27953,15,50%-75%,0,Munich,Jewelry,Credit Card,1.3,0.15,min-25%,1,0,0,0,0
27954,9,25%-50%,1,Mexico City,Healthcare,Mobile Payment,17.4,15.55,50%-75%,0,1,0,0,0
27955,10,25%-50%,1,Toronto,Crypto Exchange,Bank Transfer,5.8,22.87,75%-max,0,1,0,0,0
27956,20,75%-max,0,Berlin,Online Shopping,Debit Card,1.5,5.58,25%-50%,0,0,0,0,0
27957,13,50%-75%,1,Melbourne,Restaurant,Mobile Payment,1.0,3.48,25%-50%,0,0,0,0,0
27958,20,75%-max,0,Sydney,Travel,Mobile Payment,5.1,10.03,50%-75%,1,0,0,0,0
27959,10,25%-50%,0,Mumbai,ATM Withdrawal,Bank Transfer,1.0,3.02,min-25%,0,0,0,0,0
27960,8,25%-50%,0,Delhi,Grocery,Credit Card,0.5,1.57,min-25%,0,0,0,0,0
27961,17,50%-75%,0,Tokyo,Online Shopping,Credit Card,6.2,31.74,75%-max,0,0,0,0,0
27962,7,25%-50%,0,Melbourne,Fuel,Credit Card,0.1,3.2,min-25%,0,0,0,0,0
27963,11,25%-50%,0,Toronto,Travel,Debit Card,11.8,36.99,75%-max,0,0,1,0,0
27964,11,25%-50%,0,Manchester,Healthcare,Bank Transfer,3.7,20.0,75%-max,0,0,1,0,0
27965,6,min-25%,1,Tokyo,Clothing,Mobile Payment,1.5,2.29,min-25%,0,0,0,1,0
27966,1,min-25%,0,Melbourne,Crypto Exchange,Mobile Payment,4.7,16.29,50%-75%,0,0,0,1,0
27967,20,75%-max,1,Munich,Grocery,Debit Card,12.5,5.88,25%-50%,1,0,0,0,0
27968,10,25%-50%,0,Guadalajara,Education,Bank Transfer,1.1,7.63,25%-50%,0,1,0,0,0
27969,0,,0,Delhi,Grocery,Debit Card,4.3,17.93,75%-max,1,0,0,1,0
27970,5,min-25%,0,Melbourne,Restaurant,Debit Card,2.8,13.98,50%-75%,0,0,0,1,0
27971,21,75%-max,0,Vancouver,Crypto Exchange,Credit Card,1.2,4.62,25%-50%,0,0,0,0,0
27972,5,min-25%,1,Guadalajara,Utilities,Debit Card,0.1,22.53,75%-max,0,0,0,1,0
27973,10,25%-50%,0,Berlin,Utilities,Bank Transfer,9.0,16.84,75%-max,0,1,0,0,0
27974,12,25%-50%,0,Toronto,Healthcare,Debit Card,2.1,12.4,50%-75%,0,0,0,0,0
27975,22,75%-max,0,Munich,Clothing,Credit Card,6.9,12.6,50%-75%,1,0,0,1,0
27976,17,50%-75%,0,Paris,Grocery,Mobile Payment,8.3,0.87,min-25%,0,0,0,0,0
27977,23,75%-max,1,Munich,Restaurant,Credit Card,2.0,16.88,75%-max,0,1,0,1,0
27978,19,75%-max,0,Paris,Crypto Exchange,Mobile Payment,2.6,11.0,50%-75%,0,0,0,0,0
27979,23,75%-max,0,Mumbai,Healthcare,Mobile Payment,3.8,7.66,25%-50%,0,0,0,1,0
27980,11,25%-50%,1,São Paulo,Electronics,Credit Card,2.4,0.04,min-25%,0,1,0,0,0
27981,15,50%-75%,0,Mexico City,Restaurant,Credit Card,4.3,11.04,50%-75%,0,0,0,0,0
27982,7,25%-50%,1,Paris,Grocery,Mobile Payment,4.3,3.02,min-25%,0,0,0,0,0
27983,17,50%-75%,0,New York,Fuel,Credit Card,2.1,0.69,min-25%,0,0,0,0,0
27984,12,25%-50%,1,Lyon,Restaurant,Mobile Payment,5.4,0.57,min-25%,0,1,0,0,0
27985,13,50%-75%,0,Osaka,Online Shopping,Mobile Payment,3.8,2.76,min-25%,0,0,0,0,0
27986,7,25%-50%,0,Berlin,Travel,Debit Card,2.5,21.3,75%-max,1,0,0,0,0
27987,17,50%-75%,1,Vancouver,Grocery,Debit Card,2.7,19.82,75%-max,0,0,0,0,0
27988,11,25%-50%,0,Los Angeles,Restaurant,Credit Card,3.0,7.0,25%-50%,0,0,0,0,0
27989,11,25%-50%,1,Guadalajara,Online Shopping,Credit Card,18.0,68.2,75%-max,0,0,0,0,0
27990,13,50%-75%,1,Berlin,Gaming,Credit Card,7.9,7.5,25%-50%,0,1,0,0,1
27991,18,50%-75%,0,Paris,Education,Crypto,5.9,8.08,25%-50%,0,1,0,0,1
27992,10,25%-50%,0,Sydney,Electronics,Credit Card,4.3,0.72,min-25%,0,0,0,0,0
27993,20,75%-max,0,Paris,Travel,Debit Card,2.9,13.8,50%-75%,0,0,0,0,0
27994,23,75%-max,0,Toronto,Electronics,Mobile Payment,1.5,13.05,50%-75%,0,0,0,1,0
27995,6,min-25%,0,New York,Education,Credit Card,5.0,18.21,75%-max,1,0,0,1,0
27996,16,50%-75%,0,Rio,ATM Withdrawal,Debit Card,0.8,1.18,min-25%,0,0,0,0,0
27997,1,min-25%,0,New York,Grocery,Bank Transfer,2.6,8.31,50%-75%,0,0,0,1,0
27998,17,50%-75%,0,Sydney,ATM Withdrawal,Mobile Payment,0.1,7.26,25%-50%,0,1,0,0,0
27999,22,75%-max,1,Berlin,Electronics,Debit Card,4.1,0.14,min-25%,0,1,0,1,0
28000,2,min-25%,1,Munich,Fuel,Credit Card,2.6,10.82,50%-75%,3,0,0,1,1
28001,12,25%-50%,1,Sydney,Healthcare,Bank Transfer,0.6,2.87,min-25%,0,1,0,0,0
28002,22,75%-max,0,Munich,ATM Withdrawal,Bank Transfer,2.3,9.51,50%-75%,0,0,0,1,0
28003,21,75%-max,0,São Paulo,Jewelry,Mobile Payment,2.5,33.64,75%-max,0,0,0,0,0
28004,0,,1,São Paulo,Online Shopping,Credit Card,5.7,11.28,50%-75%,0,0,0,1,0
28005,18,50%-75%,1,Sydney,Fuel,Debit Card,3.4,27.55,75%-max,0,0,0,0,0
28006,19,75%-max,0,New York,Electronics,Debit Card,3.0,38.5,75%-max,0,0,0,0,0
28007,0,,1,Toronto,Healthcare,Debit Card,0.8,11.36,50%-75%,1,1,0,1,0
28008,22,75%-max,0,London,Jewelry,Crypto,2.1,3.57,25%-50%,0,0,0,1,1
28009,5,min-25%,1,Guadalajara,Grocery,Credit Card,2.8,5.39,25%-50%,0,0,0,1,0
28010,9,25%-50%,1,Los Angeles,Online Shopping,Credit Card,7.5,0.11,min-25%,0,0,0,0,0
28011,20,75%-max,0,Melbourne,Crypto Exchange,Bank Transfer,0.3,5.69,25%-50%,0,0,0,0,0
28012,3,min-25%,0,New York,Clothing,Debit Card,1.7,13.52,50%-75%,0,1,0,1,0
28013,12,25%-50%,0,Melbourne,Jewelry,Credit Card,3.1,1.69,min-25%,0,1,0,0,0
28014,17,50%-75%,0,Guadalajara,Jewelry,Crypto,1.7,2.13,min-25%,2,0,0,0,1
28015,15,50%-75%,0,Munich,Education,Cheque,0.1,0.81,min-25%,0,0,0,0,0
28016,22,75%-max,0,Delhi,Clothing,Bank Transfer,0.4,4.24,25%-50%,0,0,0,1,0
28017,16,50%-75%,0,Toronto,Restaurant,Credit Card,4.9,10.6,50%-75%,0,0,0,0,0
28018,16,50%-75%,0,Guadalajara,Grocery,Bank Transfer,1.4,8.74,50%-75%,0,0,0,0,0
28019,14,50%-75%,0,Osaka,Healthcare,Debit Card,4.5,6.51,25%-50%,0,0,0,0,0
28020,20,75%-max,0,Munich,ATM Withdrawal,Credit Card,6.3,2.12,min-25%,0,0,0,0,0
28021,21,75%-max,1,Munich,Healthcare,Debit Card,5.8,10.23,50%-75%,1,0,0,0,0
28022,22,75%-max,0,Berlin,Entertainment,Debit Card,8.2,7.69,25%-50%,0,0,0,1,0
28023,15,50%-75%,1,Delhi,Restaurant,Mobile Payment,7.1,2.13,min-25%,0,0,0,0,0
28024,21,75%-max,0,Melbourne,Electronics,Credit Card,0.3,4.44,25%-50%,0,0,0,0,0
28025,10,25%-50%,1,Mexico City,Online Shopping,Debit Card,7.3,6.88,25%-50%,0,1,0,0,0
28026,18,50%-75%,0,New York,Electronics,Credit Card,18.3,15.51,50%-75%,0,1,0,0,0
28027,6,min-25%,0,New York,Fuel,Debit Card,5.1,20.77,75%-max,0,1,1,1,0
28028,2,min-25%,0,Manchester,Gaming,Bank Transfer,3.5,9.65,50%-75%,2,0,0,1,0
28029,21,75%-max,0,Delhi,ATM Withdrawal,Credit Card,0.1,2.7,min-25%,0,1,0,0,0
28030,18,50%-75%,0,Guadalajara,Gaming,Bank Transfer,10.9,12.85,50%-75%,0,0,0,0,0
28031,13,50%-75%,1,Guadalajara,Online Shopping,Bank Transfer,0.8,14.81,50%-75%,0,0,0,0,0
28032,22,75%-max,0,Manchester,Travel,Credit Card,2.0,16.11,50%-75%,0,0,0,1,0
28033,16,50%-75%,0,Rio,Gaming,Debit Card,2.8,1.49,min-25%,1,0,0,0,0
28034,2,min-25%,1,São Paulo,Grocery,Debit Card,1.4,1.29,min-25%,0,1,0,1,0
28035,17,50%-75%,0,Delhi,Clothing,Debit Card,3.0,7.56,25%-50%,0,0,0,0,0
28036,9,25%-50%,0,Los Angeles,Online Shopping,Crypto,5.8,16.92,75%-max,0,0,0,0,0
28037,11,25%-50%,0,Guadalajara,Healthcare,Bank Transfer,0.3,17.67,75%-max,0,1,0,0,0
28038,6,min-25%,0,New York,ATM Withdrawal,Debit Card,0.5,36.34,75%-max,1,0,0,1,0
28039,21,75%-max,0,Berlin,Crypto Exchange,Debit Card,0.6,22.5,75%-max,0,0,0,0,0
28040,6,min-25%,1,Sydney,ATM Withdrawal,Debit Card,3.4,8.14,25%-50%,0,0,0,1,0
28041,21,75%-max,0,Melbourne,Education,Debit Card,2.7,2.85,min-25%,0,0,0,0,0
28042,3,min-25%,0,Mumbai,Utilities,Bank Transfer,3.0,3.76,25%-50%,0,0,0,1,0
28043,6,min-25%,0,Guadalajara,ATM Withdrawal,Credit Card,0.2,14.42,50%-75%,1,0,0,1,0
28044,12,25%-50%,1,São Paulo,Entertainment,Debit Card,5.6,25.15,75%-max,0,0,0,0,0
28045,6,min-25%,0,Tokyo,Electronics,Bank Transfer,0.4,21.24,75%-max,0,0,0,1,0
28046,16,50%-75%,0,New York,Travel,Debit Card,2.3,4.61,25%-50%,0,0,0,0,0
28047,8,25%-50%,1,Toronto,Online Shopping,Bank Transfer,1.2,0.75,min-25%,0,0,0,0,0
28048,5,min-25%,1,Delhi,Travel,Credit Card,0.1,1.27,min-25%,0,0,0,1,0
28049,10,25%-50%,0,Toronto,Entertainment,Credit Card,12.5,8.45,50%-75%,0,0,0,0,0
28050,22,75%-max,0,Melbourne,Healthcare,Bank Transfer,0.1,11.62,50%-75%,0,0,0,1,0
28051,0,,0,Guadalajara,Gaming,Credit Card,5.1,8.73,50%-75%,0,0,0,1,0
28052,7,25%-50%,0,São Paulo,Clothing,Debit Card,0.5,18.1,75%-max,0,0,0,0,0
28053,13,50%-75%,1,Mexico City,Entertainment,Debit Card,30.0,9.68,50%-75%,1,0,0,0,0
28054,16,50%-75%,0,Sydney,Education,Credit Card,2.3,10.62,50%-75%,0,0,0,0,0
28055,17,50%-75%,0,Mumbai,Crypto Exchange,Cheque,0.3,30.8,75%-max,0,0,0,0,0
28056,17,50%-75%,0,Melbourne,Fuel,Credit Card,3.4,21.89,75%-max,0,0,0,0,0
28057,16,50%-75%,0,Guadalajara,ATM Withdrawal,Credit Card,5.7,3.1,min-25%,0,0,0,0,0
28058,4,min-25%,0,Mexico City,Restaurant,Debit Card,2.2,7.88,25%-50%,0,0,0,1,0
28059,11,25%-50%,0,Rio,Utilities,Credit Card,5.7,5.48,25%-50%,0,0,0,0,0
28060,6,min-25%,1,Tokyo,Grocery,Bank Transfer,0.1,12.38,50%-75%,0,0,0,1,0
28061,18,50%-75%,0,Munich,Entertainment,Credit Card,16.0,6.9,25%-50%,0,0,0,0,0
28062,12,25%-50%,0,New York,Entertainment,Mobile Payment,18.6,11.41,50%-75%,0,0,0,0,0
28063,4,min-25%,1,Mexico City,Clothing,Debit Card,0.2,3.93,25%-50%,1,0,0,1,0
28064,0,,0,Guadalajara,Clothing,Debit Card,0.9,41.42,75%-max,0,0,0,1,0
28065,6,min-25%,1,Vancouver,Utilities,Debit Card,1.4,7.98,25%-50%,0,1,0,1,0
28066,0,,0,Vancouver,Healthcare,Mobile Payment,7.3,17.21,75%-max,0,1,0,1,0
28067,23,75%-max,1,Melbourne,Healthcare,Credit Card,1.8,4.65,25%-50%,0,0,0,1,0
28068,8,25%-50%,0,Guadalajara,Gaming,Debit Card,0.7,14.03,50%-75%,0,0,0,0,0
28069,3,min-25%,0,Los Angeles,Travel,Mobile Payment,1.9,12.65,50%-75%,0,0,0,1,0
28070,19,75%-max,1,Toronto,Fuel,Credit Card,1.2,6.58,25%-50%,2,0,0,0,0
28071,20,75%-max,0,Rio,Crypto Exchange,Credit Card,1.8,44.4,75%-max,3,0,0,0,0
28072,13,50%-75%,0,Delhi,Jewelry,Mobile Payment,2.5,7.04,25%-50%,0,0,0,0,0
28073,10,25%-50%,0,Lyon,Grocery,Cheque,1.8,0.22,min-25%,0,1,0,0,0
28074,21,75%-max,0,Berlin,Crypto Exchange,Bank Transfer,10.1,12.7,50%-75%,5,0,0,0,1
28075,17,50%-75%,0,Manchester,Restaurant,Bank Transfer,1.2,4.71,25%-50%,0,0,0,0,0
28076,4,min-25%,1,Los Angeles,Online Shopping,Cheque,4.3,26.2,75%-max,1,0,0,1,0
28077,21,75%-max,1,Lyon,ATM Withdrawal,Bank Transfer,12.4,2.02,min-25%,0,0,0,0,0
28078,19,75%-max,1,Mumbai,Education,Bank Transfer,1.6,13.19,50%-75%,0,0,0,0,0
28079,12,25%-50%,0,Rio,Grocery,Cheque,0.2,0.37,min-25%,0,0,0,0,0
28080,9,25%-50%,0,Rio,Restaurant,Credit Card,1.0,6.15,25%-50%,0,0,0,0,0
28081,0,,1,Toronto,Clothing,Bank Transfer,2.8,22.04,75%-max,0,0,0,1,0
28082,21,75%-max,0,Tokyo,Entertainment,Mobile Payment,8.3,2.93,min-25%,0,0,0,0,0
28083,22,75%-max,0,Manchester,Electronics,Credit Card,12.7,53.69,75%-max,0,0,0,1,0
28084,6,min-25%,0,Toronto,Travel,Cheque,4.1,44.97,75%-max,3,0,0,1,0
28085,0,,0,Tokyo,Crypto Exchange,Debit Card,0.6,1.57,min-25%,1,0,0,1,0
28086,22,75%-max,0,Los Angeles,Crypto Exchange,Mobile Payment,4.7,24.19,75%-max,0,0,0,1,0
28087,17,50%-75%,0,Vancouver,Gaming,Crypto,10.4,8.94,50%-75%,0,0,0,0,0
28088,22,75%-max,1,Los Angeles,Jewelry,Debit Card,0.1,0.3,min-25%,0,0,0,1,1
28089,12,25%-50%,0,Delhi,Electronics,Credit Card,27.3,3.54,25%-50%,0,0,0,0,0
28090,16,50%-75%,0,London,Restaurant,Mobile Payment,3.8,14.83,50%-75%,2,0,0,0,0
28091,20,75%-max,0,Rio,Education,Mobile Payment,0.8,8.24,25%-50%,0,0,0,0,0
28092,9,25%-50%,0,Melbourne,Online Shopping,Cheque,4.2,7.2,25%-50%,0,0,0,0,0
28093,20,75%-max,0,Mexico City,Online Shopping,Debit Card,2.9,7.5,25%-50%,0,0,0,0,0
28094,17,50%-75%,1,Tokyo,Crypto Exchange,Debit Card,1.4,16.18,50%-75%,0,0,0,0,0
28095,22,75%-max,0,Mumbai,Education,Credit Card,3.4,5.59,25%-50%,0,0,1,1,0
28096,10,25%-50%,0,Melbourne,Travel,Credit Card,2.3,5.85,25%-50%,0,1,0,0,0
28097,9,25%-50%,0,Delhi,Fuel,Debit Card,0.5,9.09,50%-75%,0,0,0,0,0
28098,7,25%-50%,0,New York,Gaming,Debit Card,2.2,13.46,50%-75%,0,1,0,0,0
28099,10,25%-50%,0,Tokyo,Jewelry,Debit Card,0.8,86.36,75%-max,0,0,0,0,0
28100,21,75%-max,0,Osaka,Travel,Debit Card,7.6,1.81,min-25%,1,0,0,0,0
28101,20,75%-max,0,Guadalajara,Grocery,Debit Card,6.7,8.21,25%-50%,0,0,0,0,0
28102,9,25%-50%,1,Mumbai,Jewelry,Mobile Payment,2.7,6.34,25%-50%,0,0,1,0,0
28103,3,min-25%,0,Paris,Travel,Credit Card,5.9,27.87,75%-max,0,0,0,1,0
28104,22,75%-max,0,Paris,Healthcare,Debit Card,1.0,2.9,min-25%,0,0,0,1,0
28105,19,75%-max,0,São Paulo,Entertainment,Credit Card,1.4,22.36,75%-max,1,0,0,0,0
28106,18,50%-75%,0,Mexico City,Electronics,Debit Card,1.4,14.45,50%-75%,0,0,0,0,0
28107,12,25%-50%,1,Sydney,Utilities,Credit Card,14.1,14.84,50%-75%,0,0,0,0,0
28108,4,min-25%,0,Rio,Grocery,Bank Transfer,2.8,19.84,75%-max,1,1,0,1,0
28109,9,25%-50%,0,Munich,Fuel,Debit Card,0.2,3.63,25%-50%,0,0,0,0,0
28110,5,min-25%,1,Mumbai,Education,Credit Card,1.1,4.23,25%-50%,0,0,0,1,0
28111,8,25%-50%,1,London,Grocery,Debit Card,13.9,41.35,75%-max,0,0,0,0,0
28112,2,min-25%,0,Toronto,Entertainment,Credit Card,1.9,3.71,25%-50%,0,0,1,1,1
28113,13,50%-75%,0,Tokyo,Travel,Debit Card,5.1,5.3,25%-50%,0,0,0,0,0
28114,10,25%-50%,1,Toronto,Restaurant,Credit Card,5.6,4.55,25%-50%,1,1,0,0,0
28115,14,50%-75%,0,Tokyo,Grocery,Mobile Payment,3.7,24.82,75%-max,1,1,0,0,0
28116,21,75%-max,0,Toronto,Fuel,Debit Card,1.7,4.27,25%-50%,0,0,0,0,0
28117,15,50%-75%,0,Vancouver,Fuel,Debit Card,0.3,8.36,50%-75%,0,0,0,0,0
28118,10,25%-50%,0,Osaka,Education,Mobile Payment,4.4,18.75,75%-max,0,0,0,0,0
28119,2,min-25%,0,Sydney,Jewelry,Credit Card,1.0,2.07,min-25%,1,0,1,1,0
28120,20,75%-max,0,Guadalajara,Online Shopping,Mobile Payment,0.6,1.51,min-25%,3,0,1,0,0
28121,15,50%-75%,0,Los Angeles,Restaurant,Credit Card,22.7,5.45,25%-50%,0,0,0,0,0
28122,17,50%-75%,0,Lyon,Travel,Crypto,0.8,3.76,25%-50%,0,0,0,0,0
28123,6,min-25%,1,São Paulo,Entertainment,Credit Card,5.6,6.2,25%-50%,0,1,0,1,0
28124,15,50%-75%,0,Berlin,Gaming,Credit Card,9.1,12.65,50%-75%,0,0,0,0,0
28125,0,,0,Munich,Restaurant,Credit Card,1.2,20.69,75%-max,0,0,1,1,0
28126,8,25%-50%,0,New York,Gaming,Credit Card,5.0,1.58,min-25%,0,0,0,0,0
28127,21,75%-max,0,New York,Online Shopping,Debit Card,1.5,4.9,25%-50%,0,0,0,0,0
28128,11,25%-50%,0,Melbourne,Gaming,Debit Card,0.5,0.15,min-25%,0,0,0,0,0
28129,14,50%-75%,0,Los Angeles,Electronics,Bank Transfer,13.4,9.8,50%-75%,0,0,0,0,0
28130,15,50%-75%,0,New York,Utilities,Mobile Payment,1.2,36.57,75%-max,0,0,0,0,0
28131,19,75%-max,0,New York,Grocery,Mobile Payment,2.6,2.96,min-25%,0,0,0,0,0
28132,13,50%-75%,0,Munich,Entertainment,Credit Card,2.7,1.91,min-25%,0,0,0,0,0
28133,23,75%-max,0,Tokyo,Restaurant,Mobile Payment,0.6,15.72,50%-75%,0,0,0,1,0
28134,20,75%-max,0,Melbourne,Grocery,Credit Card,1.5,16.23,50%-75%,0,0,1,0,0
28135,19,75%-max,1,Guadalajara,Jewelry,Crypto,0.4,7.31,25%-50%,0,1,0,0,0
28136,6,min-25%,1,Melbourne,Travel,Debit Card,4.4,1.66,min-25%,0,0,0,1,1
28137,21,75%-max,1,Berlin,Fuel,Mobile Payment,2.6,14.04,50%-75%,0,0,0,0,0
28138,14,50%-75%,0,Guadalajara,Travel,Debit Card,0.9,5.94,25%-50%,0,0,1,0,0
28139,8,25%-50%,0,New York,Education,Debit Card,2.8,12.56,50%-75%,0,0,0,0,0
28140,8,25%-50%,1,Toronto,ATM Withdrawal,Debit Card,0.8,13.02,50%-75%,0,0,0,0,0
28141,14,50%-75%,0,Osaka,Electronics,Crypto,10.9,1.3,min-25%,0,0,0,0,0
28142,21,75%-max,0,Guadalajara,Utilities,Debit Card,1.9,9.63,50%-75%,0,1,0,0,0
28143,8,25%-50%,0,Manchester,Gaming,Mobile Payment,9.2,4.89,25%-50%,1,0,0,0,0
28144,22,75%-max,0,Lyon,Healthcare,Bank Transfer,2.1,16.07,50%-75%,0,0,0,1,0
28145,23,75%-max,0,Toronto,Healthcare,Debit Card,3.5,43.75,75%-max,0,0,0,1,0
28146,6,min-25%,0,Guadalajara,Crypto Exchange,Credit Card,4.4,0.63,min-25%,0,0,0,1,0
28147,12,25%-50%,0,Tokyo,Restaurant,Credit Card,2.3,4.05,25%-50%,0,0,0,0,0
28148,6,min-25%,0,Delhi,ATM Withdrawal,Credit Card,4.3,9.84,50%-75%,0,0,1,1,0
28149,7,25%-50%,0,Los Angeles,Jewelry,Debit Card,4.7,10.07,50%-75%,0,0,0,0,0
28150,22,75%-max,1,Tokyo,Entertainment,Credit Card,3.2,10.16,50%-75%,0,0,0,1,1
28151,12,25%-50%,1,Mumbai,Restaurant,Crypto,0.6,21.49,75%-max,1,1,0,0,0
28152,9,25%-50%,0,Berlin,Restaurant,Cheque,1.9,19.6,75%-max,0,0,0,0,0
28153,15,50%-75%,0,London,Jewelry,Mobile Payment,0.6,5.31,25%-50%,0,0,0,0,0
28154,12,25%-50%,1,Sydney,Utilities,Debit Card,0.4,52.91,75%-max,2,0,0,0,0
28155,21,75%-max,0,Lyon,Online Shopping,Debit Card,0.1,2.86,min-25%,0,1,0,0,0
28156,15,50%-75%,1,Paris,Restaurant,Bank Transfer,9.9,7.12,25%-50%,1,1,0,0,0
28157,15,50%-75%,0,Mumbai,Grocery,Bank Transfer,14.2,4.13,25%-50%,0,0,0,0,0
28158,17,50%-75%,0,Mumbai,Jewelry,Credit Card,11.5,6.13,25%-50%,0,0,0,0,0
28159,19,75%-max,0,Rio,Utilities,Credit Card,1.6,0.76,min-25%,0,1,0,0,0
28160,0,,1,Paris,Fuel,Credit Card,6.1,1.12,min-25%,0,0,0,1,0
28161,20,75%-max,1,Tokyo,Utilities,Debit Card,5.3,7.63,25%-50%,0,0,0,0,0
28162,18,50%-75%,0,Los Angeles,Online Shopping,Mobile Payment,5.8,47.83,75%-max,1,0,0,0,0
28163,13,50%-75%,0,Guadalajara,Gaming,Mobile Payment,0.4,7.53,25%-50%,0,0,0,0,0
28164,22,75%-max,0,Tokyo,Travel,Debit Card,3.6,2.83,min-25%,2,0,0,1,0
28165,23,75%-max,0,Manchester,Crypto Exchange,Debit Card,3.9,7.61,25%-50%,1,0,0,1,0
28166,0,,0,Mumbai,Education,Credit Card,11.3,34.33,75%-max,0,0,0,1,0
28167,2,min-25%,0,Tokyo,Travel,Credit Card,0.8,6.3,25%-50%,0,0,0,1,0
